ID_Produto,Produto,Preco_Unitario,Satisfacao_Media,Material,Data_Fabricacao
P001,Camiseta Básica,59.9,4.5,Algodão,2024-03-16
P002,Camiseta Estampada,79.9,4.2,Algodão,2024-07-11
P003,Calça Jeans,149.9,4.6,Sarja,2021-08-03
P004,Calça Cargo,169.9,4.1,Sarja,2026-05-05
P005,Jaqueta Jeans,229.9,4.7,Denim,2024-05-27
P006,Moletom,189.9,4.8,Algodão/Poliéster,2026-08-25
P007,Vestido Casual,139.9,4.4,Viscose,2024-10-19
P008,Vestido Social,219.9,4.3,Viscose,2021-01-21
P009,Saia Midi,119.9,4.0,Poliéster,2022-03-08
P010,Shorts Jeans,99.9,4.2,Algodão,2026-07-06
P011,Tênis Casual,249.9,4.6,Sintético,2024-03-03
P012,Tênis Esportivo,299.9,4.5,Sintético,2021-09-10
P013,Boné,49.9,3.9,Algodão,2021-06-03
P014,Bolsa Transversal,129.9,4.3,Couro sintético,2024-01-16
P015,Cinto de Couro,89.9,4.1,Couro,2024-05-14
P0016,Calça Sarja Cinza 16,158.68,4.2,Sarja,2022-05-25
P0017,Conjunto Moletom Amarela 17,299.42,4.8,Algodão/Poliéster,2022-02-08
P0018,Camisa Flanela Amarela 18,155.47,3.8,Algodão,2024-06-08
P0019,Bermuda Jeans Rosa 19,329.13,4.1,Sarja,2023-06-21
P0020,Bermuda Jeans Verde 20,100.64,4.9,Sarja,2021-03-18
P0021,Calça Sarja Rosa 21,74.49,4.2,Sarja,2021-04-30
P0022,Blazer Casual Branca 22,93.78,4.5,Poliéster,2022-05-09
P0023,Jaqueta Puffer Amarela 23,185.17,4.4,Poliéster,2024-03-13
P0024,Regata Canelada Rosa 24,186.05,3.7,Algodão,2022-09-14
P0025,Jaqueta Jeans Azul 25,193.39,4.0,Denim,2021-01-31
P0026,Blusa Canelada Branca 26,327.14,4.5,Viscose,2026-03-10
P0027,Blusa Básica Preta 27,205.64,4.2,Viscose,2024-12-05
P0028,Vestido Floral Marrom 28,191.23,4.3,Viscose,2024-04-22
P0029,Jaqueta Bomber Vermelha 29,81.4,4.9,Poliéster,2022-05-21
P0030,Calça Social Cinza 30,151.06,4.8,Sarja,2025-01-05
P0031,Blazer Casual Cinza 31,105.31,4.4,Poliéster,2026-05-12
P0032,Calça Cargo Preta 32,96.97,3.9,Sarja,2024-10-30
P0033,Camiseta Polo Rosa 33,330.62,4.0,Algodão,2022-09-04
P0034,Moletom Com Capuz Amarela 34,270.33,4.4,Algodão/Poliéster,2023-03-23
P0035,Camiseta Básica Preta 35,90.4,3.9,Algodão,2026-04-07
P0036,Regata Esportiva Bege 36,150.12,3.5,Algodão,2021-01-30
P0037,Blusa Básica Verde 37,245.96,4.0,Viscose,2022-04-03
P0038,Camisa Manga Curta Verde 38,358.43,5.0,Algodão,2021-08-10
P0039,Saia Plissada Bege 39,288.53,4.7,Poliéster,2024-08-19
P0040,Camiseta Polo Cinza 40,51.79,3.9,Algodão,2023-08-08
P0041,Blazer Slim Rosa 41,111.6,4.5,Poliéster,2021-10-03
P0042,Camisa Manga Curta Verde 42,243.32,3.4,Algodão,2026-05-02
P0043,Blusa Manga Longa Branca 43,357.68,3.5,Viscose,2024-02-16
P0044,Camisa Linho Azul 44,244.85,4.0,Algodão,2022-05-30
P0045,Camiseta Polo Amarela 45,207.64,4.5,Algodão,2026-05-11
P0046,Camiseta Estampada Cinza 46,165.82,4.4,Algodão,2024-12-15
P0047,Saia Midi Bege 47,147.8,4.5,Poliéster,2021-09-26
P0048,Calça Jogger Amarela 48,144.29,3.4,Sarja,2025-09-07
P0049,Camisa Linho Amarela 49,181.55,4.1,Algodão,2021-05-03
P0050,Moletom Estampado Bege 50,129.18,5.0,Algodão/Poliéster,2026-02-20
P0051,Moletom Canguru Verde 51,295.15,4.1,Algodão/Poliéster,2023-03-26
P0052,Calça Jogger Amarela 52,83.57,3.7,Sarja,2022-08-31
P0053,Jaqueta Corta-Vento Verde 53,139.18,4.0,Nylon,2021-04-21
P0054,Blusa Social Vermelha 54,246.87,4.2,Viscose,2026-04-11
P0055,Camiseta Slim Marrom 55,101.58,4.7,Algodão,2024-03-03
P0056,Jaqueta Jeans Amarela 56,158.05,3.7,Denim,2024-06-11
P0057,Blusa Canelada Amarela 57,280.74,4.5,Viscose,2025-10-26
P0058,Regata Canelada Marrom 58,249.65,4.4,Algodão,2023-11-18
P0059,Bermuda Jeans Preta 59,399.07,4.2,Sarja,2022-08-23
P0060,Camisa Manga Curta Azul 60,61.93,4.7,Algodão,2025-05-30
P0061,Camiseta Oversized Cinza 61,148.39,5.0,Algodão,2024-01-02
P0062,Regata Esportiva Vermelha 62,143.24,4.1,Algodão,2022-05-09
P0063,Vestido Floral Amarela 63,87.39,3.8,Viscose,2025-10-14
P0064,Bermuda Jeans Vermelha 64,43.56,4.1,Sarja,2025-08-09
P0065,Moletom Estampado Branca 65,93.32,4.8,Algodão/Poliéster,2022-05-27
P0066,Camisa Flanela Amarela 66,59.56,5.0,Algodão,2024-09-06
P0067,Vestido Casual Azul 67,320.26,4.4,Viscose,2026-03-21
P0068,Jaqueta Puffer Cinza 68,348.95,4.6,Poliéster,2025-07-12
P0069,Camisa Manga Curta Vermelha 69,158.98,3.8,Algodão,2022-02-16
P0070,Vestido Floral Preta 70,239.84,3.5,Viscose,2025-11-06
P0071,Camisa Flanela Branca 71,133.89,4.6,Algodão,2021-04-27
P0072,Vestido Longo Vermelha 72,133.27,4.0,Viscose,2024-07-01
P0073,Calça Jeans Vermelha 73,376.34,4.6,Sarja,2023-11-25
