ID_Produto,Produto,Preco_Unitario,Satisfacao_Media,Material,Categoria,Marca,Estoque,Status,Data_Fabricacao,Data_Hora_Geracao
P0001,Jaqueta,274.89,3.2,Poliéster,Casacos,Fila,151,Ativo,2024-01-22,2026-09-23 16:55:35
P0002,Pijama,82.43,2.6,Algodão,Roupas,Fila,11,Ativo,2023-05-12,2026-09-23 16:55:35
P0003,Meia Calça,26.17,4.4,Nylon,Roupas,Olympikus,160,Ativo,2023-12-16,2026-09-23 16:55:35
P0004,Tênis Casual,169.9,5.0,Lona,Calçados,Nike,105,Esgotado,2023-12-26,2026-09-23 16:55:35
P0005,Polo,79.9,3.1,Piquet,Camisas,Adidas,79,Esgotado,2024-08-29,2026-09-23 16:55:35
P0006,Boné,39.9,2.8,Algodão,Acessórios ,C&A,43,Ativo,2023-01-21,2026-09-23 16:55:35
P0007,Tênis Esportivo,239.88,4.1,Sintético,Calçados,Riachuelo,108,Ativo,2024-08-04,2026-09-23 16:55:35
P0008,Top Fitness,37.42,4.2,Poliamida,Roupas,Levi's,150,Ativo,2023-01-23,2026-09-23 16:55:35
P0009,Brinco,43.89,3.3,Banho de Ouro,Acessórios,Aramis,25,Ativo,2025-04-07,2026-09-23 16:55:35
P0010,Necessaire,69.9,3.3,Nylon,Acessórios,Levi's,128,Ativo,2025-04-10,2026-09-23 16:55:35
P0011,Máscara de Cílios,49.9,5.5,Sintético,Cosméticos,Aramis,111,Esgotado,2023-07-26,2026-09-23 16:55:35
P0012,Boné,53.87 ,3.0,Algodão,Acessórios,Colcci,67,Inativo,2023-02-18,2026-09-23 16:55:35
P0013,Sapato Social,219.9,4.1,Couro,Calçados,Puma,245,Inativo,2023-04-05,2026-09-23 16:55:35
P0014,Robe,139.9,2.7,Microfibra,Roupas,Aramis,205,Ativo,2024-06-27,2026-09-23 16:55:35
P0015,Shorts Jeans,89.9,4.5,Denim,Bermudas,Colcci,166,Inativo,2025-04-23 ,2026-09-23 16:55:35
P0016,Cueca Boxer,32.89,4.2,Algodão,Roupas,Mizuno,80,Ativo,2023-07-24,2026-09-23 16:55:35
P0017,Legging,94.37,3.6,Elastano,Roupas,Hering,195,Ativo,2024-07-14,2026-09-23 16:55:35
P0018,Carteira de Mão,121.37,4.7, Couro Sintético,Bolsas,Renner,147,Esgotado,2024-05-26,2026-09-23 16:55:35
